created_at,cdmx,che,coca-cola,cocar,femsa,guevara,ingrid,iphonecon,méxico,oaxaca
1577836800,82,0,149,61,1,0,0,0,248,18
1580515200,55,0,18,86,0,0,827,0,224,10
1583020800,13,0,35,69,4,0,0,0,31,2
1585699200,223,0,40,102,0,0,0,0,57,2
1588291200,9,0,53,95,0,0,0,0,39,20
1590969600,37,1,203,162,705,1,0,0,101,8
1593561600,2,0,65,127,6,0,0,0,93,1
1596240000,14,0,79,135,16,0,0,0,30,779
1598918400,19,0,265,76,29,0,0,0,27,16
1601510400,5,835,29,91,7,835,0,835,15,111
1604188800,28,58,16,52,5,56,0,57,27,13
1606780800,16,3,20,53,1,3,0,3,53,2
1609459200,454,0,33,75,2,0,0,0,84,8
